mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__colsample_bytree,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_child_weight,param_regressor__n_estimators,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.5899330139160157,0.11852408882376037,0.04202008247375488,0.010552081604282879,0.8,0.01,3,1,100,0.8,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 1, 'regressor__n_estimators': 100, 'regressor__subsample': 0.8}",-4.212070941925049,-4.167217254638672,-4.1086506843566895,-4.234361171722412,-3.99442195892334,-4.143344402313232,0.08597540444768435,319
1.8870993614196778,0.477916954538321,0.03248295783996582,0.006017429061095613,0.8,0.01,3,1,100,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 1, 'regressor__n_estimators': 100, 'regressor__subsample': 1.0}",-4.220277786254883,-4.174944877624512,-4.117100715637207,-4.2381110191345215,-4.003276348114014,-4.150742149353027,0.0847728787520465,323
2.0339772701263428,0.5483121192199787,0.04920740127563476,0.016108703389418014,0.8,0.01,3,1,200,0.8,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 1, 'regressor__n_estimators': 200, 'regressor__subsample': 0.8}",-3.853888988494873,-3.775566577911377,-3.727951765060425,-3.812196731567383,-3.6215474605560303,-3.7582303047180177,0.07995310529185172,268
1.7052093029022217,0.26504740082927425,0.2890341281890869,0.4740788640260056,0.8,0.01,3,1,200,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 1, 'regressor__n_estimators': 200, 'regressor__subsample': 1.0}",-3.862971305847168,-3.7808430194854736,-3.7344512939453125,-3.814767360687256,-3.6328728199005127,-3.7651811599731446,0.07837961379538758,274
1.112049150466919,0.678286224099354,0.043144512176513675,0.0075019716464745645,0.8,0.01,3,1,300,0.8,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 1, 'regressor__n_estimators': 300, 'regressor__subsample': 0.8}",-3.737046957015991,-3.6540775299072266,-3.6147565841674805,-3.68001389503479,-3.507493019104004,-3.6386775970458984,0.0766863570544435,141
0.594651174545288,0.042792102909458604,0.04663233757019043,0.005811876015345347,0.8,0.01,3,1,300,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 1, 'regressor__n_estimators': 300, 'regressor__subsample': 1.0}",-3.741976737976074,-3.6608617305755615,-3.617307186126709,-3.675595283508301,-3.5174691677093506,-3.642642021179199,0.07429045481440388,157
0.29521751403808594,0.03804078692054849,0.039296627044677734,0.006517175332007941,0.8,0.01,3,3,100,0.8,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 100, 'regressor__subsample': 0.8}",-4.2121076583862305,-4.167012691497803,-4.108572006225586,-4.234324932098389,-3.995140314102173,-4.143431520462036,0.08571996668566932,321
0.3161635398864746,0.03515297548807336,0.04246830940246582,0.0030793087646721617,0.8,0.01,3,3,100,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 100, 'regressor__subsample': 1.0}",-4.220226287841797,-4.174041271209717,-4.1178083419799805,-4.238751411437988,-4.003763198852539,-4.150918102264404,0.08462129466598055,324
0.5491888523101807,0.02933054253808438,0.03786420822143555,0.009323274233185361,0.8,0.01,3,3,200,0.8,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 200, 'regressor__subsample': 0.8}",-3.853868007659912,-3.77485990524292,-3.727571964263916,-3.812058210372925,-3.6218209266662598,-3.7580358028411864,0.07983460448925643,267
0.5311106204986572,0.02305475715378423,0.03412685394287109,0.005962628949268824,0.8,0.01,3,3,200,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 200, 'regressor__subsample': 1.0}",-3.863032102584839,-3.7803471088409424,-3.733877658843994,-3.815803050994873,-3.6323368549346924,-3.7650793552398683,0.07873354503481597,273
0.6849879264831543,0.030165513629067286,0.040979194641113284,0.002358647620303307,0.8,0.01,3,3,300,0.8,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 300, 'regressor__subsample': 0.8}",-3.737083911895752,-3.6528818607330322,-3.6149232387542725,-3.6791744232177734,-3.5072696208953857,-3.638266611099243,0.07662511080030632,138
0.6456443786621093,0.03704852071363989,0.034199094772338866,0.003338583750619931,0.8,0.01,3,3,300,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 300, 'regressor__subsample': 1.0}",-3.7407052516937256,-3.6585309505462646,-3.6177685260772705,-3.6754002571105957,-3.5174360275268555,-3.6419682025909426,0.07380368381635266,153
